ID,salesShipmentId,lineNumber,salesOrderLineId,salesOrderId,salesOrderLineNumber,ProductId,quantityShipped,unitOfMeasure
6058511c-85fd-49fc-ad9d-9e9f1f5eaf0d-10,6058511c-85fd-49fc-ad9d-9e9f1f5eaf0d,10,0f5f630b-b22e-462d-b85e-ea328285b80a-10,0f5f630b-b22e-462d-b85e-ea328285b80a,10,PROD004,290,Each
6058511c-85fd-49fc-ad9d-9e9f1f5eaf0d-20,6058511c-85fd-49fc-ad9d-9e9f1f5eaf0d,20,0f5f630b-b22e-462d-b85e-ea328285b80a-20,0f5f630b-b22e-462d-b85e-ea328285b80a,20,PROD009,360,Each
589955ba-99b9-4237-b1fd-6c493d9cb6f1-10,589955ba-99b9-4237-b1fd-6c493d9cb6f1,10,3558f751-37a3-41f0-9bba-7487799793dc-10,3558f751-37a3-41f0-9bba-7487799793dc,10,PROD004,160,Each
589955ba-99b9-4237-b1fd-6c493d9cb6f1-20,589955ba-99b9-4237-b1fd-6c493d9cb6f1,20,3558f751-37a3-41f0-9bba-7487799793dc-30,3558f751-37a3-41f0-9bba-7487799793dc,30,PROD002,320,Each
9dcf952b-b705-40e9-988e-dbc0044b96fa-10,9dcf952b-b705-40e9-988e-dbc0044b96fa,10,786d65a7-713e-4908-bb90-db78fe372bbe-20,786d65a7-713e-4908-bb90-db78fe372bbe,20,PROD009,240,Each
6836a0c6-387d-424f-bf1a-a6dad019b828-10,6836a0c6-387d-424f-bf1a-a6dad019b828,10,073ed4ac-4ada-4771-a0bd-42a5439ce5fc-10,073ed4ac-4ada-4771-a0bd-42a5439ce5fc,10,PROD007,100,Each
8793ed37-bbd4-48de-b80e-4a6852e47c3d-10,8793ed37-bbd4-48de-b80e-4a6852e47c3d,10,7de0c647-383a-4085-aee5-2e4369619a05-10,7de0c647-383a-4085-aee5-2e4369619a05,10,PROD002,470,Each
6f94c6c6-26d3-4408-983d-20eb80479f8a-10,6f94c6c6-26d3-4408-983d-20eb80479f8a,10,090c1d0e-f15e-4128-8046-b26cb6122379-20,090c1d0e-f15e-4128-8046-b26cb6122379,20,PROD006,120,Each
bf9a5566-42da-49c6-be82-6eadb857ff8e-10,bf9a5566-42da-49c6-be82-6eadb857ff8e,10,9dc65f17-3aa2-416c-991e-aa6bf81a7398-20,9dc65f17-3aa2-416c-991e-aa6bf81a7398,20,PROD006,410,Each
7b381512-badf-49a5-8fd0-394cbc85ad18-10,7b381512-badf-49a5-8fd0-394cbc85ad18,10,83ce1682-4126-4f61-a768-fa28654d1c20-10,83ce1682-4126-4f61-a768-fa28654d1c20,10,PROD001,207,Each
