ID,productId,locationId,StartDate,timeFrameDays,Quantity
4e86031e-4aa3-4c61-a825-7d60b8f23e1e,PART001,LOC-PLANT-001,,7,130
fe2bb8ac-7601-4fe8-be5a-fc30092cefec,PART001,LOC-PLANT-001,,7,470
9527d01b-897c-46cb-b855-3390da0562bb,PART001,LOC-PLANT-001,,7,50
d947b580-eea4-4c0f-89f1-d32a6dd735af,PART001,LOC-PLANT-001,,7,490
a24600a6-ff0b-4dbc-bff5-ce66771fe5f7,PART001,LOC-PLANT-001,,7,260
296b11c7-5fb2-4f33-b938-4aa8d596597e,PART001,LOC-PLANT-001,,7,370
9a8c1f9c-93a1-4011-85dd-d23dac6ef3d7,PART001,LOC-PLANT-001,,7,300
89cc07db-6354-4363-94d7-1d884e3c6c64,PART001,LOC-PLANT-001,,7,220
e7e1009f-856e-43c6-8f23-1667aadf8970,PART001,LOC-PLANT-001,,7,500
96899811-f74e-4ee5-b82e-1b57ed887c84,PART001,LOC-PLANT-002,,30,330
22de4503-179e-47d9-9bb6-548d8a54629f,PART001,LOC-PLANT-002,,30,270
7b7343df-ce62-43e4-8c3e-71629fc31653,PART001,LOC-WARE-003,,1,220
c32f0533-1728-448d-b9a1-ecca5ede4b77,PART001,LOC-WARE-003,,1,460
58127686-f022-4d83-9b0c-73698c2c8634,PART001,LOC-WARE-003,,1,440
8440bcfb-cb74-4cfa-9eee-7093f66eff70,PART001,LOC-WARE-003,,1,50
af37e9c2-4a0d-4ab0-b472-0c3cbd16b816,PART001,LOC-WARE-003,,1,210
d5be1c8d-0fc9-4484-8034-cac3945a157b,PART001,LOC-WARE-003,,1,470
2ab636e2-1374-480b-a59b-277ca1038e11,PART001,LOC-WARE-003,,1,410
98b24070-719e-42e7-9b19-833e591ea566,PART001,LOC-WARE-003,,1,160
7522555e-ab70-4404-b94c-0f0751c61207,PART001,LOC-WARE-003,,1,100
b230a7de-fb4a-4144-a081-b7070655be30,PART001,LOC-WARE-003,,1,390
57dc3f1c-3b28-442b-97d2-dd9d3620f502,PART001,LOC-WARE-003,,1,430
a2df085b-1c64-4477-b73d-e4fcfe99c75e,PART001,LOC-WARE-003,,1,410
999f0c4d-ae53-411d-b697-54aab8ceef50,PART001,LOC-WARE-003,,1,480
a07355bc-296f-4b52-9639-1e118819a272,PART001,LOC-WARE-003,,1,170
166aab0c-7b45-4c74-9816-aa9b26b40e42,PART001,LOC-WARE-003,,1,460
996f6ed2-b1b6-4c7f-98a9-c25335f3360f,PART001,LOC-WARE-003,,1,400
ac8c1306-d636-452b-89bb-9fd20659d23d,PART001,LOC-WARE-003,,1,180
e0b04c44-bb4b-49dc-9d45-5ba89a4ff848,PART001,LOC-WARE-003,,1,140
5b7beb59-8aa1-4790-9c6a-2a64bfd074ab,PART001,LOC-WARE-003,,1,300
9370af3b-9acf-4220-960a-4ce0c03da388,PART001,LOC-WARE-003,,1,480
e41aa45c-597e-40ef-b9b9-412c46ff9c2c,PART001,LOC-WARE-003,,1,490
e6d49ec7-ae24-4f97-9a39-c3377ca16aa7,PART001,LOC-WARE-003,,1,150
edda09dd-df4e-4ada-9353-c753e670dc66,PART001,LOC-WARE-003,,1,360
268347a1-f58d-45d5-a96e-4e4d42b6f2b6,PART001,LOC-WARE-003,,1,490
9b60a25b-c56c-4fb7-808a-13f3a211b476,PART001,LOC-WARE-003,,1,290
1d108a0a-7595-4c74-b424-5015e23f0fc5,PART001,LOC-WARE-003,,1,250
62be6162-d7b7-4276-b0e7-ceb328518021,PART001,LOC-WARE-003,,1,200
cd78ee0e-a8a5-4cd9-a8bc-9ed42b3dc149,PART001,LOC-WARE-003,,1,80
1aaccee8-318b-4c59-952b-04ef2c37cf91,PART001,LOC-WARE-003,,1,160
